[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (6 handlers)
[GIN-debug] HEAD   /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (6 handlers)
[GIN-debug] GET    /                         --> main.SrvGin.func1 (6 handlers)
[GIN-debug] POST   /                         --> main.SrvGin.func2 (6 handlers)
[GIN-debug] POST   /EditProduct              --> main.EditProduct (6 handlers)
[GIN-debug] POST   /DelProduct               --> main.DelProduct (6 handlers)
[GIN-debug] POST   /DelProductSku            --> main.DelProductSku (6 handlers)
[GIN-debug] POST   /ProductList              --> main.ProductList (6 handlers)
[GIN-debug] GET    /ProductById/:id          --> main.ProductById (6 handlers)
[GIN] 2020/11/23 - 17:29:30 | 204 |            0s |             ::1 | OPTIONS  "/banckCardUpload?reportProgress=true&withCredentials=true"
[GIN] 2020/11/23 - 17:29:30 | 200 |    612.9988ms |             ::1 | POST     "/banckCardUpload?reportProgress=true&withCredentials=true"
[GIN] 2020/11/23 - 17:29:33 | 204 |            0s |             ::1 | OPTIONS  "/bizlicenseUpload?reportProgress=true&withCredentials=true"
[GIN] 2020/11/23 - 17:29:35 | 200 |    1.7890232s |             ::1 | POST     "/bizlicenseUpload?reportProgress=true&withCredentials=true"
[GIN] 2020/11/23 - 17:29:42 | 204 |            0s |             ::1 | OPTIONS  "/upload?reportProgress=true&withCredentials=true"
[GIN] 2020/11/23 - 17:29:42 | 200 |     13.9996ms |             ::1 | POST     "/upload?reportProgress=true&withCredentials=true"
[GIN] 2020/11/23 - 17:29:47 | 204 |            0s |             ::1 | OPTIONS  "/upload?reportProgress=true&withCredentials=true"
[GIN] 2020/11/23 - 17:29:47 | 200 |     16.0015ms |             ::1 | POST     "/upload?reportProgress=true&withCredentials=true"
[GIN] 2020/11/23 - 17:31:05 | 204 |            0s |             ::1 | OPTIONS  "/upload?reportProgress=true&withCredentials=true"
[GIN] 2020/11/23 - 17:31:06 | 200 |    219.9992ms |             ::1 | POST     "/upload?reportProgress=true&withCredentials=true"
[GIN] 2020/11/23 - 17:31:09 | 200 |     17.0028ms |             ::1 | POST     "/upload?reportProgress=true&withCredentials=true"
[GIN] 2020/11/23 - 17:31:14 | 204 |            0s |             ::1 | OPTIONS  "/upload?reportProgress=true&withCredentials=true"
[GIN] 2020/11/23 - 17:31:14 | 200 |     15.0008ms |             ::1 | POST     "/upload?reportProgress=true&withCredentials=true"
[GIN] 2020/11/23 - 17:31:18 | 200 |     19.0016ms |             ::1 | POST     "/upload?reportProgress=true&withCredentials=true"
[GIN] 2020/11/23 - 17:31:29 | 204 |            0s |             ::1 | OPTIONS  "/upload?reportProgress=true&withCredentials=true"
[GIN] 2020/11/23 - 17:31:29 | 200 |     18.0003ms |             ::1 | POST     "/upload?reportProgress=true&withCredentials=true"
] 2020/11/23 - 17:03:56 | 200 |      12.961ms |             ::1 | GET      "/UserById/337245632022446080"
[GIN] 2020/11/23 - 17:03:56 | 204 |      1.0002ms |             ::1 | OPTIONS  "/UserGroupList"
[GIN] 2020/11/23 - 17:03:56 | 204 |            0s |             ::1 | OPTIONS  "/TreeByType/2"
[GIN] 2020/11/23 - 17:03:56 | 200 |      8.9986ms |             ::1 | GET      "/TreeByType/2"
[GIN] 2020/11/23 - 17:03:56 | 200 |      8.9986ms |             ::1 | POST     "/UserGroupList"
[GIN] 2020/11/23 - 17:04:44 | 204 |            0s |             ::1 | OPTIONS  "/UserById/337245632022446080"
[GIN] 2020/11/23 - 17:04:44 | 200 |    112.0011ms |             ::1 | GET      "/UserById/337245632022446080"
[GIN] 2020/11/23 - 17:04:44 | 204 |            0s |             ::1 | OPTIONS  "/UserGroupList"
[GIN] 2020/11/23 - 17:04:44 | 204 |            0s |             ::1 | OPTIONS  "/TreeByType/2"
[GIN] 2020/11/23 - 17:04:44 | 200 |     11.9991ms |             ::1 | POST     "/UserGroupList"
[GIN] 2020/11/23 - 17:04:44 | 200 |     13.9995ms |             ::1 | GET      "/TreeByType/2"
[GIN] 2020/11/23 - 17:04:51 | 204 |            0s |             ::1 | OPTIONS  "/Token"
[GIN] 2020/11/23 - 17:04:51 | 200 |     12.9986ms |             ::1 | GET      "/Token"
[GIN] 2020/11/23 - 17:04:51 | 204 |            0s |             ::1 | OPTIONS  "/UserInfoList"
[GIN] 2020/11/23 - 17:04:51 | 200 |     27.0006ms |             ::1 | POST     "/UserInfoList"
[GIN] 2020/11/23 - 17:04:52 | 204 |            0s |             ::1 | OPTIONS  "/UserById/337245632022446080"
[GIN] 2020/11/23 - 17:04:52 | 200 |     16.0025ms |             ::1 | GET      "/UserById/337245632022446080"
[GIN] 2020/11/23 - 17:04:52 | 204 |            0s |             ::1 | OPTIONS  "/UserGroupList"
[GIN] 2020/11/23 - 17:04:52 | 204 |            0s |             ::1 | OPTIONS  "/TreeByType/2"
[GIN] 2020/11/23 - 17:04:52 | 200 |     10.0014ms |             ::1 | POST     "/UserGroupList"
[GIN] 2020/11/23 - 17:04:52 | 200 |      9.9988ms |             ::1 | GET      "/TreeByType/2"
[GIN] 2020/11/23 - 17:05:06 | 204 |            0s |             ::1 | OPTIONS  "/Token"
[GIN] 2020/11/23 - 17:05:06 | 200 |     12.0011ms |             ::1 | GET      "/Token"
[GIN] 2020/11/23 - 17:05:06 | 204 |            0s |             ::1 | OPTIONS  "/UserInfoList"
[GIN] 2020/11/23 - 17:05:06 | 200 |     19.0008ms |             ::1 | POST     "/UserInfoList"
[GIN] 2020/11/23 - 17:05:09 | 204 |            0s |             ::1 | OPTIONS  "/UserById/337245632022446080"
[GIN] 2020/11/23 - 17:05:09 | 200 |     10.9987ms |             ::1 | GET      "/UserById/337245632022446080"
[GIN] 2020/11/23 - 17:05:09 | 204 |            0s |             ::1 | OPTIONS  "/UserGroupList"
[GIN] 2020/11/23 - 17:05:09 | 204 |            0s |             ::1 | OPTIONS  "/TreeByType/2"
[GIN] 2020/11/23 - 17:05:09 | 200 |      9.9993ms |             ::1 | POST     "/UserGroupList"
[GIN] 2020/11/23 - 17:05:09 | 200 |     13.0009ms |             ::1 | GET      "/TreeByType/2"
[GIN] 2020/11/23 - 17:05:23 | 204 |            0s |             ::1 | OPTIONS  "/EditUser"
[GIN] 2020/11/23 - 17:05:23 | 200 |     26.9972ms |             ::1 | POST     "/EditUser"
[GIN] 2020/11/23 - 17:05:23 | 204 |            0s |             ::1 | OPTIONS  "/UserInfoList"
[GIN] 2020/11/23 - 17:05:23 | 200 |      16.023ms |             ::1 | POST     "/UserInfoList"
[GIN] 2020/11/23 - 17:05:31 | 204 |            0s |             ::1 | OPTIONS  "/Token"
[GIN] 2020/11/23 - 17:05:31 | 200 |     12.9871ms |             ::1 | GET      "/Token"
[GIN] 2020/11/23 - 17:05:31 | 204 |            0s |             ::1 | OPTIONS  "/UserInfoList"
[GIN] 2020/11/23 - 17:05:31 | 200 |     21.9996ms |             ::1 | POST     "/UserInfoList"
[GIN] 2020/11/23 - 17:05:32 | 204 |            0s |             ::1 | OPTIONS  "/UserById/337245632022446080"
[GIN] 2020/11/23 - 17:05:32 | 200 |      8.9984ms |             ::1 | GET      "/UserById/337245632022446080"
[GIN] 2020/11/23 - 17:05:32 | 204 |            0s |             ::1 | OPTIONS  "/UserGroupList"
[GIN] 2020/11/23 - 17:05:32 | 204 |            0s |             ::1 | OPTIONS  "/TreeByType/2"
